"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln.  His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War.  The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",2553,37.53129914,-85.73316202,Abraham Lincoln Birthplace National Historical Park,(270) 358 3137
"People have been drawn to the rugged coast of Maine throughout history. Awed by its beauty and diversity, early 20th-century visionaries donated the land that became Acadia National Park. The park is home to many plants and animals, and the tallest mountain on the U.S. Atlantic coast. Today visitors come to Acadia to hike granite peaks, bike historic carriage roads, or relax and enjoy the scenery.",2554,44.37435865,-68.25986579,Acadia National Park,(207) 288 3338
"From the sweet little farm at the foot of Penn's Hill to the gentleman's country estate at Peace field, Adams National Historical Park is the story of ""heroes, statesman, philosophers... and learned women"" whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",2555,42.25217056,-71.00405884,Adams National Historical Park,
"During the 1890s, scientists rediscovered what the Lakota Sioux already knew_bones preserved in one of the world's most significant Miocene Epoch mammal sites.Yet, this place called ""Agate"" is a landscape that reflects many influences_from early animals roaming the valleys and hills, to tribal nations calling the High Plains home, to explorers passing through or settling in the American West.",2556,42.42602993,-103.7323856,Agate Fossil Beds National Monument,
"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",2557,58.75218201,-156.5490723,Alagnak Wild River,(907) 246 3305
"Alcatraz Island offers a close-up look at the site of the first lighthouse and US built fort on the West Coast, the infamous federal penitentiary long off-limits to the public, and the 18 month occupation by Indians of All Tribes which saved the tribes. Rich in history, there is also a natural side to the Rock_gardens, tide pools, bird colonies, and bay views beyond compare.",2558,37.82746506,-122.4224472,Alcatraz Island,
"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Mainline Canal.  ""The Portage,"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh.  All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",2561,40.4555062,-78.55457915,Allegheny Portage Railroad National Historic Site,
"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. 5,204 names are inscribed on a memorial which was dedicated during the 50th Anniversary of the Invasion of Saipan. Within the 133-acre boundary are white beaches, sporting areas, picnic sites,  playgrounds, walkways, and a 30-acre protected wetland and mangrove forest.",2563,15.1919058,145.7537705,American Memorial Park,
"Whether you exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.",2564,38.8787169,-76.9711744,Anacostia Park,
"The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history.",2566,32.19761165,-84.12679863,Andersonville National Historic Site,(229) 924 0343
"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited in places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.",2567,56.89438588,-158.1228638,Aniakchak National Monument & Preserve,(907) 246 3305
"The Andrew Johnson National Historic Site and National Cemetery interprets the life and legacy of the 17th President. Andrew Johnson's presidency, 1865-1869, illustrates the United States Constitution at work following President Lincoln's assassination and during attempts to reunify a nation torn by civil war. His presidency shaped the future of the United States and his influences continue today.",2568,36.16280294,-82.82947278,Andrew Johnson National Historic Site,(423) 639 3711
"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led to Abraham Lincoln's issuance of the preliminary Emancipation Proclamation.",2569,39.473123,-77.745634,Antietam National Battlefield,(301) 432 5124
"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.",2570,37.37573958,-78.79810143,Appomattox Court House National Historical Park,
"Along windswept beaches and cliffs, visitors experience where water meets land and sky, culture meets culture, and past meets present. The 21 islands and 12 miles of mainland host a unique blend of cultural and natural resources.  Lighthouses shine over Lake Superior and the new wilderness areas. Visitors can hike, paddle, sail, or cruise to experience these Jewels of Lake Superior.",2571,46.81098461,-90.82035832,Apostle Islands National Lakeshore,(715) 779 3397
"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",2576,38.24952833,-75.15631869,Assateague Island National Seashore,410-641-1441
Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,2577,36.82617188,-107.9926682,Aztec Ruins National Monument,(505) 334 6174
"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world's richest fossil beds. Ancient mammals such as the rhino, horse, and saber-toothed cat once roamed here. The park's 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",2578,43.74893256,-101.9422077,Badlands National Park,
"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years.  Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",2579,35.83841705,-106.3147812,Bandelier National Monument,
"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.",2581,39.18415833,-76.67456818,Baltimore-Washington Parkway,(301) 344 3948
